コンセントを増やす,tfidf
aurora,0.3860829156233699
共栄,0.3860829156233699
商事,0.3860829156233699
テーブル,0.3282057508067413
mm,0.2871412488579342
850,0.2573886104155799
av,0.2573886104155799
ラック,0.2573886104155799
タイプ,0.22926408404130566
66,0.12869430520778996
665,0.12869430520778996
85,0.12869430520778996
ha,0.12869430520778996
tv,0.12869430520778996
アジャスタブルテーブル,0.12869430520778996
65,0.10940191693558043
00,0.0
000,0.0
00029,0.0
001,0.0
003,0.0
005,0.0
00987602,0.0
01,0.0
01489,0.0
01564,0.0
0173,0.0
02,0.0
022,0.0
03,0.0
04,0.0
05,0.0
050704,0.0
050883,0.0
052,0.0
053511,0.0
06,0.0
0604,0.0
062,0.0
063,0.0
0640,0.0
07,0.0
08,0.0
08324,0.0
088,0.0
089,0.0
090,0.0
092,0.0
094,0.0
09499,0.0
095,0.0
097,0.0
0979,0.0
09895,0.0
09896,0.0
099,0.0
10,0.0
100,0.0
1000,0.0
10000,0.0
1002,0.0
1004,0.0
1011,0.0
102,0.0
104,0.0
105,0.0
106,0.0
107,0.0
10780,0.0
108,0.0
109,0.0
11,0.0
110,0.0
111,0.0
113,0.0
115,0.0
117,0.0
12,0.0
120,0.0
1217,0.0
1218,0.0
128,0.0
13,0.0
130,0.0
14,0.0
144,0.0
15,0.0
150,0.0
1500,0.0
155,0.0
16,0.0
1680,0.0
17,0.0
171,0.0
17208,0.0
175,0.0
178,0.0
18,0.0
180,0.0
1800,0.0
19,0.0
195,0.0
198,0.0
20,0.0
200,0.0
2000,0.0
2018,0.0
20181116,0.0
20181207,0.0
2019,0.0
2020,0.0
203,0.0
21,0.0
211,0.0
213,0.0
22,0.0
220,0.0
228,0.0
23,0.0
235,0.0
240,0.0
2444,0.0
245,0.0
2474,0.0
25,0.0
250,0.0
26,0.0
270,0.0
2700000,0.0
275,0.0
28,0.0
30,0.0
300,0.0
3000,0.0
301,0.0
302,0.0
306,0.0
32,0.0
320,0.0
321,0.0
3232,0.0
3235,0.0
325,0.0
326,0.0
326127081,0.0
33,0.0
33000,0.0
346,0.0
35,0.0
350,0.0
351,0.0
352955072338527,0.0
35896,0.0
359,0.0
360,0.0
370,0.0
371,0.0
3776,0.0
380,0.0
39,0.0
3980,0.0
40,0.0
400,0.0
4000,0.0
4004,0.0
4080,0.0
4100,0.0
4150,0.0
42,0.0
4200,0.0
44,0.0
45,0.0
450,0.0
4500,0.0
4511981010811,0.0
452,0.0
4548056530806,0.0
455,0.0
4571205850609,0.0
46,0.0
4680,0.0
473,0.0
48,0.0
480,0.0
4800,0.0
49,0.0
4902370523133,0.0
4902370539073,0.0
4902370540734,0.0
4902370541281,0.0
4902370542905,0.0
4902370542912,0.0
4902370543278,0.0
4902370545302,0.0
4904790527142,0.0
4969887668399,0.0
4988617143692,0.0
50,0.0
500,0.0
5000,0.0
503,0.0
5038,0.0
