羽なし扇風機,tfidf
扇風機,0.7821558855708539
ファン,0.3464583117293715
羽根,0.22309815528027713
なし,0.21508572128680392
ハンディ,0.19685131348259746
かけ,0.11811078808955848
ネック,0.10761205137048661
掛け,0.10498736719071865
ポータブル,0.09594251778740102
卓上,0.09448863047164678
ミニ,0.07139908300457751
usb,0.06942067179428678
対策,0.06470541897289836
充電,0.06340520499921298
熱中,0.0629924203144312
タワー,0.06024297628511228
段階,0.06024297628511228
ハンズフリー,0.05511836777512729
携帯,0.05380102064057227
小型,0.05270548551604096
クーラー,0.04986899941559136
無し,0.048801375477815705
リモコン,0.039041100382252565
モーター,0.0379307628461818
振り,0.036745578516751524
調節,0.036745578516751524
way,0.03412089433698356
dc,0.03346832015839571
リビング,0.03346832015839571
おしゃれ,0.03318493532491468
コンパクト,0.03318493532491468
2020,0.02961325148151648
サーキュレーター,0.02887152597744763
手持ち,0.026246841797679662
機能,0.02395307744414713
ない,0.023622157617911695
タイマー,0.023622157617911695
ダイソン,0.023622157617911695
ブレードレス,0.023622157617911695
冷風,0.023622157617911695
空気,0.023622157617911695
スリム,0.023424660229351538
無料,0.023383527952440305
送料,0.023383527952440305
アウトドア,0.022312213438930473
持ち運び,0.022312213438930473
スタンド,0.021820290565327933
cool,0.02099747343814373
左右,0.02099747343814373
送風,0.02099747343814373
付き,0.019807198905167446
人気,0.019090684743428867
dyson,0.018372789258375762
売れ筋,0.018372789258375762
節電,0.018372789258375762
髪の毛,0.018372789258375762
省エネ,0.017849770751144377
最新,0.017355167948571695
pure,0.0157481050786078
torras,0.0157481050786078
ブレードレスデスクファン,0.0157481050786078
冷却,0.0157481050786078
清浄,0.0157481050786078
軽量,0.015619651153714527
360,0.01561854940725133
安全,0.01561854940725133
調整,0.01561854940725133
安心,0.015585921832377095
便利,0.013884134358857358
価格,0.013664385133788398
ハンズフリーファン,0.013123420898839831
ハンディー,0.013123420898839831
巻き込ま,0.013123420898839831
快適,0.013123420898839831
タイプ,0.012468737465901675
ポイント,0.012468737465901675
シルバー,0.011712330114675769
スポーツ,0.011712330114675769
日本語,0.011712330114675769
説明,0.011712330114675769
ホワイト,0.01127203644430453
高品,0.011156106719465236
楽天,0.010910145282663966
にくい,0.010498736719071864
スリムタワーファン,0.010498736719071864
ハンディーファン,0.010498736719071864
上下,0.010498736719071864
両手,0.010498736719071864
切替,0.010498736719071864
持ち運べる,0.010498736719071864
涼感,0.010498736719071864
解放,0.010498736719071864
宅配,0.010413100769143018
モデル,0.009863031888766464
在庫,0.009863031888766464
種類,0.009760275095563141
オフィス,0.008924885375572188
装着,0.008924885375572188
グッズ,0.008677583974285847
子供,0.008677583974285847
am,0.0078740525393039
elc,0.0078740525393039
ws,0.0078740525393039
キャンプ,0.0078740525393039
セール,0.0078740525393039
ネックバンドファン,0.0078740525393039
ヒーター,0.0078740525393039
ブレードレスファン,0.0078740525393039
回転,0.0078740525393039
屋外,0.0078740525393039
持ち歩き,0.0078740525393039
敬老,0.0078740525393039
涼しい,0.0078740525393039
置き,0.0078740525393039
赤ちゃん,0.0078740525393039
静か,0.0078740525393039
スペース,0.007808220076450513
保証,0.007792960916188548
プレゼント,0.007676555150743742
mah,0.006942067179428679
容量,0.006942067179428679
テーブル,0.006693664031679142
ヘッドホン,0.006693664031679142
作業,0.006693664031679142
設計,0.006693664031679142
ブラック,0.006234368732950838
led,0.005856165057337884
スマホスタンド,0.005856165057337884
可愛い,0.005856165057337884
品質,0.005856165057337884
壁掛け,0.005856165057337884
年間,0.005856165057337884
正規,0.005636018222152265
022,0.005249368359535932
03,0.005249368359535932
04,0.005249368359535932
720,0.005249368359535932
bp,0.005249368359535932
deco,0.005249368359535932
dp,0.005249368359535932
fan,0.005249368359535932
ht,0.005249368359535932
link,0.005249368359535932
me,0.005249368359535932
rs,0.005249368359535932
sale,0.005249368359535932
tp,0.005249368359535932
wsn,0.005249368359535932
wyfs,0.005249368359535932
がけ,0.005249368359535932
より,0.005249368359535932
アンドデコ,0.005249368359535932
エアコン,0.005249368359535932
コッパー,0.005249368359535932
スリープモード,0.005249368359535932
パープル,0.005249368359535932
ファ,0.005249368359535932
フェス,0.005249368359535932
ブレードレスサーキュレーター,0.005249368359535932
メタル,0.005249368359535932
両用,0.005249368359535932
寝室,0.005249368359535932
巻き込み,0.005249368359535932
触っ,0.005249368359535932
部屋,0.005249368359535932
野外,0.005249368359535932
電気,0.005249368359535932
風力,0.005249368359535932
01,0.005206550384571509
new,0.005206550384571509
デスク,0.005206550384571509
選べる,0.005206550384571509
中古,0.005117703433829161
gc,0.004462442687786094
ss,0.004462442687786094
おすすめ,0.004462442687786094
ため,0.004462442687786094
ウォーキング,0.004462442687786094
ガン,0.004462442687786094
ケーブル,0.004462442687786094
スタイリッシュ,0.004462442687786094
テレ,0.004462442687786094
モード,0.004462442687786094
ランキング,0.004462442687786094
乾燥,0.004462442687786094
処分,0.004462442687786094
夏物,0.004462442687786094
強力,0.004462442687786094
旅行,0.004462442687786094
角度,0.004462442687786094
30,0.004227013666614199
4000,0.0039041100382252564
mm,0.0039041100382252564
エコ,0.0039041100382252564
ダブル,0.0039041100382252564
トップ,0.0039041100382252564
ピンク,0.0039041100382252564
ワーク,0.0039041100382252564
専用,0.0039041100382252564
自然,0.0039041100382252564
防止,0.0039041100382252564
あり,0.003838277575371871
